"Cancellation of earned points from transaction %transaction_id, Order %order_id, Credit Memo %creditmemo_id","Cancellation of earned points from transaction %transaction_id, Order %order_id, Credit Memo %creditmemo_id"
"Subscribed","Subscribed"
"Not Subscribed","Not Subscribed"
"Unsubscribed","Unsubscribed"
"Yes","Yes"
"No","No"
"Not Subscribed","Not Subscribed"
"Waiting","Waiting"
"Points expired","Points expired"
"Your Reward Points subscription settings were updated.","Your Reward Points subscription settings were updated."
"Something went wrong while saving your Reward Points subscription.","Something went wrong while saving your Reward Points subscription."
"Balance Update Notified","Balance Update Notified"
"Expiration Notified","Expiration Notified"
"Something went wrong while saving your Reward Points subscription.","Something went wrong while saving your Reward Points subscription."
"Your Reward Points subscription settings were updated.","Your Reward Points subscription settings were updated."
"Something went wrong while saving your Reward Points subscription.","Something went wrong while saving your Reward Points subscription."
"Subscribe to balance update notifications","Subscribe to balance update notifications"
"Subscribe to points expiration reminders","Subscribe to points expiration reminders"
"Points balance notifications sent when","Points balance notifications sent when"
"Subscribe Customers to Reward Points Notifications by Default","Subscribe Customers to Reward Points Notifications by Default"
"Sender","Sender"
"Email Notifications","Email Notifications"
"Balance Update Template","Balance Update Template"
"Subscribe Customers to Reward Points Notifications by Default","Subscribe Customers to Reward Points Notifications by Default"
"Points expiration reminder template","Points expiration reminder template"
"Expiration reminder timing, days","Expiration reminder timing, days"
"Edit Email Preferences","Edit Email Preferences"
"Balance","Balance"
"You can not save the transaction. The transaction is not active.","You can not save the transaction. The transaction is not active."
"Share of purchase that could be covered by points, %","Share of purchase that could be covered by points, %"
"Reward points were successfully applied. Important: It is allowed to cover only %1% of the purchase with Reward Points.","Reward points were successfully applied. Important: It is allowed to cover only %1% of the purchase with Reward Points."
"Points can't be used unless the balance is greater than","Points can't be used unless the balance is greater than"
"Earn <strong>%1</strong> or more points to spend them on checkout","Earn <strong>%1</strong> or more points to spend them on checkout"
"Reward Points were successfully removed.","Reward Points were successfully removed."
"You are not using Reward Points in your shopping cart.","You are not using Reward Points in your shopping cart."
"Cancel","Cancel"
"Refund by Reward Points","Refund by Reward Points"
"Reimburse of spent Reward Points","Reimburse of spent Reward Points"
"Balance Update Notifications (status)","Balance Update Notifications (status)"
"Points Expiration Notification (status)","Points Expiration Notification (status)"
"Cancel points earned on refunded order","Cancel points earned on refunded order"
"Reimburse Points Spent on Refunded Order","Reimburse Points Spent on Refunded Order"
"Created By","Created By"
"Spend <strong>%1</strong> to earn <strong>%2 points</strong>, and get a bonus discount of <strong>%3</strong>","Spend <strong>%1</strong> to earn <strong>%2 points</strong>, and get a bonus discount of <strong>%3</strong>"
"Spend <strong>%1</strong> to earn more and spend them!","Spend <strong>%1</strong> to earn more and spend them!"
"* Tax can not be covered by Reward Points","* Tax can not be covered by Reward Points"
"Cancel earned points for refund order %order_id, Credit Memo %creditmemo_id","Cancel earned points for refund order %order_id, Credit Memo %creditmemo_id"
"Active","Active"
"Used","Used"
"Expired","Expired"
"Status","Status"
"Cancelled","Cancelled"
"Cancel earned points for refund order","Cancel earned points for refund order"
"Balance Adjusted","Balance Adjusted"
"Display invitation to newsletter subscription","Display invitation to newsletter subscription"
"Subscribe to Newsletter to earn <strong>%1 points%2</strong>. <a href=""%3"">Learn more</a>.","Subscribe to Newsletter to earn <strong>%1 points%2</strong>. <a href=""%3"">Learn more</a>."
"Display invitation to newsletter subscription","Display invitation to newsletter subscription"
"Register now to earn <strong>%1 points%2</strong>. <a href=""%3"">Learn more</a>.","Register now to earn <strong>%1 points%2</strong>. <a href=""%3"">Learn more</a>."
"Display an invitation to register","Display an invitation to register"
"Allow applying points to shipping amount","Allow applying points to shipping amount"
"Points earning calculation","Points earning calculation"
"Default","Default"
"Before Tax","Before Tax"
"After Tax","After Tax"
"No possibility to use reward points discounts in the cart","No possibility to use reward points discounts in the cart"
